Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;594272580;Sell Stop;0.02;07.04.2022 10:52:30;1.08783;07.04.2022 10:53:21;1.08796;-5.86;-5.86;[S/L]
EURUSD;594258755;Buy Stop;0.02;07.04.2022 10:34:14;1.08848;07.04.2022 10:36:04;1.08806;-18.91;-18.91;[S/L]
EURUSD;594229098;Sell;0.02;07.04.2022 10:05:33;1.08986;07.04.2022 10:27:59;1.08861;56.37;56.37;
EURUSD;594218922;Sell Stop;0.02;07.04.2022 09:57:44;1.08971;07.04.2022 10:04:25;1.09006;-15.75;-15.75;[S/L]
GBPUSD;594166778;Sell Stop;0.02;07.04.2022 09:13:03;1.31024;07.04.2022 09:23:02;1.3107;-20.68;-20.68;[S/L]
EURUSD;594154954;Buy Stop;0.02;07.04.2022 09:03:48;1.09172;07.04.2022 09:12:26;1.09134;-17.04;-17.04;[S/L]
EURUSD;594143670;Sell Stop;0.02;07.04.2022 08:51:11;1.09185;07.04.2022 09:02:04;1.09185;0;0;[S/L]
EURUSD;594141071;Buy;0.02;07.04.2022 08:46:51;1.0922;07.04.2022 08:51:05;1.09191;-12.97;-12.97;
GBPUSD;594137249;Buy;0.02;07.04.2022 08:42:23;1.30888;07.04.2022 08:45:38;1.30865;-10.29;-10.29;
EURUSD;594137598;Buy Stop;0.02;07.04.2022 08:42:50;1.09243;07.04.2022 08:45:26;1.09203;-17.89;-17.89;[S/L]
EURUSD;594132814;Sell;0.02;07.04.2022 08:34:09;1.09245;07.04.2022 08:37:53;1.09216;12.99;12.99;
EURUSD;594131451;Buy Stop;0.02;07.04.2022 08:32:09;1.09274;07.04.2022 08:33:32;1.09239;-15.65;-15.65;[S/L]
EURUSD;593946306;Buy;0.02;06.04.2022 21:43:49;1.08969;06.04.2022 21:47:36;1.0898;4.93;4.93;
EURUSD;593942005;Sell;0.02;06.04.2022 21:38:50;1.0893;06.04.2022 21:40:33;1.08963;-14.85;-14.85;
GBPUSD;593936240;Sell;0.02;06.04.2022 21:34:17;1.3067;06.04.2022 21:39:10;1.30658;5.4;5.40;
EURUSD;593928332;Sell;0.02;06.04.2022 21:27:29;1.0896;06.04.2022 21:32:00;1.0898;-9;-9.00;
EURUSD;593908853;Sell Stop;0.02;06.04.2022 21:12:04;1.08991;06.04.2022 21:22:42;1.08988;1.35;1.35;[S/L]
EURUSD;593903838;Sell;0.02;06.04.2022 21:07:49;1.08989;06.04.2022 21:11:15;1.09021;-14.41;-14.41;
EURUSD;593884764;Buy;0.02;06.04.2022 20:57:58;1.08984;06.04.2022 21:06:44;1.09024;17.96;17.96;
EURUSD;593882238;Sell;0.02;06.04.2022 20:56:24;1.08955;06.04.2022 20:57:43;1.08992;-16.65;-16.65;
